index,county,crime_rate,average_income,poverty_rate
1,Jefferson,576.7462264,48695.0,16.4
2,Scott,376.3989829,63027.0,11.0
3,Fayette,369.9404723,49778.0,18.9
4,Franklin,336.3680309,47964.0,14.6
5,Christian,258.875241,39521.0,19.9
6,Boyle,224.0375004,39704.0,16.1
7,Simpson,213.5671331,39679.0,20.1
8,Henderson,207.1331478,41036.0,19.0
9,McCracken,200.3885396,44067.0,16.8
10,Taylor,198.791026,33340.0,23.7
11,Kenton,198.5963407,54296.0,14.6
12,Warren,198.5300329,44911.0,18.8
13,Clark,193.7440332,47959.0,15.4
14,Campbell,186.8378248,54621.0,14.6
15,Montgomery,176.1403251,39275.0,26.0
16,Caldwell,171.5667161,42537.0,20.1
17,Daviess,169.0117901,45989.0,15.6
18,Boyd,165.6916091,42319.0,20.4
19,Madison,163.5705106,42390.0,21.0
20,Jessamine,163.4345166,50558.0,19.1
21,Logan,145.1108796,38570.0,19.3
22,Mason,144.6926728,38824.0,18.2
23,Hopkins,141.5276408,42346.0,17.2
24,Fulton,140.9553641,28359.0,27.4
25,Harrison,140.4039313,35681.0,22.2
26,Bell,139.8601399,22443.0,38.0
27,Boone,139.8241751,66730.0,8.2
28,Graves,138.8480948,39530.0,17.3
29,Woodford,138.4767557,58750.0,13.1
30,Ohio,133.4000334,40189.0,22.0
31,Trigg,132.9322046,44083.0,17.8
32,Shelby,128.9126108,60324.0,13.0
33,Calloway,127.4663409,37034.0,23.1
34,Marshall,122.1589996,45212.0,10.8
35,Whitley,120.2259129,31014.0,26.0
36,Ballard,120.0192031,42244.0,16.3
37,Pulaski,118.9228097,34790.0,26.3
38,Bullitt,117.1051604,55975.0,10.4
39,Barren,116.2061031,38370.0,20.4
40,Hardin,115.5364125,50765.0,14.3
41,Bourbon,115.0115012,45208.0,16.6
42,Nelson,112.2586439,49298.0,16.0
43,Martin,110.6981893,25795.0,35.2
44,Gallatin,106.2072221,48370.0,15.3
45,Carroll,100.4291062,41439.0,27.9
46,Perry,96.39414495,32667.0,25.4
47,Grayson,96.16494211,35030.0,24.0
48,Adair,96.09224856,33362.0,21.6
49,Pendleton,96.08785175,48353.0,15.3
50,Todd,95.97696553,40497.0,18.5
51,Mercer,93.68120287,42083.0,18.3
52,Clay,93.61542782,21549.0,39.7
53,Edmonson,91.19548997,41710.0,19.2
54,Marion,89.7979546,38826.0,20.3
55,Laurel,88.98141464,36020.0,23.1
56,Union,86.49943443,40120.0,27.7
57,Butler,85.98452279,33536.0,29.3
58,Livingston,85.47921787,42171.0,14.7
59,Harlan,80.70458613,25814.0,31.2
60,Knox,75.49543882,26599.0,32.6
61,Wayne,72.54086469,28573.0,27.0
62,McCreary,72.26638501,19328.0,41.0
63,Green,71.55635063,34982.0,20.1
64,Nicholas,71.03281716,36097.0,23.5
65,Lee,68.87052342,22698.0,32.0
66,Johnson,68.23318692,35570.0,26.3
67,Meade,65.04621705,49884.0,16.7
68,Rowan,63.75653504,36860.0,26.0
69,Hickman,63.22444679,41218.0,15.0
70,Casey,62.23937263,32341.0,25.5
71,Breckinridge,59.88023952,43479.0,17.4
72,Garrard,59.11912504,44243.0,21.7
73,Cumberland,58.9188393,32019.0,25.1
74,Lawrence,56.76084763,35935.0,22.7
75,Spencer,56.69898509,63000.0,8.4
76,Russell,56.33168094,30720.0,25.8
77,Powell,56.02689291,29736.0,28.1
78,Anderson,55.01811013,53974.0,10.3
79,Crittenden,54.02485143,35316.0,21.9
80,Grant,52.5188866,44824.0,18.4
81,Washington,50.52631579,40976.0,17.6
82,Larue,49.77246871,38578.0,17.8
83,Lincoln,49.24086992,37139.0,25.0
84,Muhlenberg,48.10930434,38961.0,19.9
85,Oldham,48.10467577,85452.0,6.0
86,Carter,47.79060363,36696.0,17.6
87,Bracken,47.52851711,36327.0,18.5
88,Greenup,46.55111038,45370.0,17.7
89,Magoffin,46.33204633,28500.0,28.6
90,Trimble,45.37205082,47409.0,17.4
91,Lewis,43.45936549,28630.0,30.8
92,Hart,43.07327841,34774.0,24.9
93,McLean,42.12299916,40770.0,21.1
94,Floyd,41.31377815,30096.0,30.0
95,Carlisle,39.9920016,38829.0,19.8
96,Allen,39.387524,41326.0,17.2
97,Elliott,39.28244075,28224.0,31.3
98,Letcher,38.10491553,30333.0,28.4
99,Pike,37.86683496,33183.0,22.9
100,Monroe,37.449677,31045.0,27.7
101,Rockcastle,35.94320973,31555.0,24.7
102,Lyon,35.49875754,46931.0,14.3
103,Hancock,34.53436169,50476.0,15.8
104,Fleming,34.46374414,35469.0,20.1
105,Webster,29.73535534,38917.0,17.6
106,Estill,27.60905577,29770.0,29.3
107,Wolfe,27.59381898,20504.0,43.0
108,Henry,25.89834898,46495.0,18.3
109,Morgan,22.42152466,29707.0,27.7
110,Jackson,22.34304014,29826.0,31.4
111,Owsley,21.486893,20985.0,37.9
112,Metcalfe,20.0340579,32294.0,21.9
113,Clinton,19.71220185,28025.0,24.3
114,Knott,18.77816725,30411.0,28.1
115,Owen,18.75820672,41934.0,16.8
116,Leslie,18.15046737,25872.0,28.5
117,Menifee,15.90330789,31503.0,29.9
118,Breathitt,14.76559616,25817.0,32.9
119,Bath,8.360504975,33483.0,26.4
120,Robertson,0.0,31741.0,22.0
