county_name,crime_rate_per_100000,index
Jefferson,576.7462264,1
Scott,376.3989829,2
Fayette,369.9404723,3
Franklin,336.3680309,4
Christian,258.875241,5
Boyle,224.0375004,6
Simpson,213.5671331,7
Henderson,207.1331478,8
McCracken,200.3885396,9
Taylor,198.791026,10
Kenton,198.5963407,11
Warren,198.5300329,12
Clark,193.7440332,13
Campbell,186.8378248,14
Montgomery,176.1403251,15
Caldwell,171.5667161,16
Daviess,169.0117901,17
Boyd,165.6916091,18
Madison,163.5705106,19
Jessamine,163.4345166,20
Logan,145.1108796,21
Mason,144.6926728,22
Hopkins,141.5276408,23
Fulton,140.9553641,24
Harrison,140.4039313,25
Bell,139.8601399,26
Boone,139.8241751,27
Graves,138.8480948,28
Woodford,138.4767557,29
Ohio,133.4000334,30
Trigg,132.9322046,31
Shelby,128.9126108,32
Calloway,127.4663409,33
Marshall,122.1589996,34
Whitley,120.2259129,35
Ballard,120.0192031,36
Pulaski,118.9228097,37
Bullitt,117.1051604,38
Barren,116.2061031,39
Hardin,115.5364125,40
Bourbon,115.0115012,41
Nelson,112.2586439,42
Martin,110.6981893,43
Gallatin,106.2072221,44
Carroll,100.4291062,45
Perry,96.39414495,46
Grayson,96.16494211,47
Adair,96.09224856,48
Pendleton,96.08785175,49
Todd,95.97696553,50
Mercer,93.68120287,51
Clay,93.61542782,52
Edmonson,91.19548997,53
Marion,89.7979546,54
Laurel,88.98141464,55
Union,86.49943443,56
Butler,85.98452279,57
Livingston,85.47921787,58
Harlan,80.70458613,59
Knox,75.49543882,60
Wayne,72.54086469,61
McCreary,72.26638501,62
Green,71.55635063,63
Nicholas,71.03281716,64
Lee,68.87052342,65
Johnson,68.23318692,66
Meade,65.04621705,67
Rowan,63.75653504,68
Hickman,63.22444679,69
Casey,62.23937263,70
Breckinridge,59.88023952,71
Garrard,59.11912504,72
Cumberland,58.9188393,73
Lawrence,56.76084763,74
Spencer,56.69898509,75
Russell,56.33168094,76
Powell,56.02689291,77
Anderson,55.01811013,78
Crittenden,54.02485143,79
Grant,52.5188866,80
Washington,50.52631579,81
Larue,49.77246871,82
Lincoln,49.24086992,83
Muhlenberg,48.10930434,84
Oldham,48.10467577,85
Carter,47.79060363,86
Bracken,47.52851711,87
Greenup,46.55111038,88
Magoffin,46.33204633,89
Trimble,45.37205082,90
Lewis,43.45936549,91
Hart,43.07327841,92
McLean,42.12299916,93
Floyd,41.31377815,94
Carlisle,39.9920016,95
Allen,39.387524,96
Elliott,39.28244075,97
Letcher,38.10491553,98
Pike,37.86683496,99
Monroe,37.449677,100
Rockcastle,35.94320973,101
Lyon,35.49875754,102
Hancock,34.53436169,103
Fleming,34.46374414,104
Webster,29.73535534,105
Estill,27.60905577,106
Wolfe,27.59381898,107
Henry,25.89834898,108
Morgan,22.42152466,109
Jackson,22.34304014,110
Owsley,21.486893,111
Metcalfe,20.0340579,112
Clinton,19.71220185,113
Knott,18.77816725,114
Owen,18.75820672,115
Leslie,18.15046737,116
Menifee,15.90330789,117
Breathitt,14.76559616,118
Bath,8.360504975,119
Robertson,0,120
