county,average_income,poverty_rate
Adair,33362.0,21.6
Allen,41326.0,17.2
Anderson,53974.0,10.3
Ballard,42244.0,16.3
Barren,38370.0,20.4
Bath,33483.0,26.4
Bell,22443.0,38.0
Boone,66730.0,8.2
Bourbon,45208.0,16.6
Boyd,42319.0,20.4
Boyle,39704.0,16.1
Bracken,36327.0,18.5
Breathitt,25817.0,32.9
Breckinridge,43479.0,17.4
Bullitt,55975.0,10.4
Butler,33536.0,29.3
Caldwell,42537.0,20.1
Calloway,37034.0,23.1
Campbell,54621.0,14.6
Carlisle,38829.0,19.8
Carroll,41439.0,27.9
Carter,36696.0,17.6
Casey,32341.0,25.5
Christian,39521.0,19.9
Clark,47959.0,15.4
Clay,21549.0,39.7
Clinton,28025.0,24.3
Crittenden,35316.0,21.9
Cumberland,32019.0,25.1
Daviess,45989.0,15.6
Edmonson,41710.0,19.2
Elliott,28224.0,31.3
Estill,29770.0,29.3
Fayette,49778.0,18.9
Fleming,35469.0,20.1
Floyd,30096.0,30.0
Franklin,47964.0,14.6
Fulton,28359.0,27.4
Gallatin,48370.0,15.3
Garrard,44243.0,21.7
Grant,44824.0,18.4
Graves,39530.0,17.3
Grayson,35030.0,24.0
Green,34982.0,20.1
Greenup,45370.0,17.7
Hancock,50476.0,15.8
Hardin,50765.0,14.3
Harlan,25814.0,31.2
Harrison,35681.0,22.2
Hart,34774.0,24.9
Henderson,41036.0,19.0
Henry,46495.0,18.3
Hickman,41218.0,15.0
Hopkins,42346.0,17.2
Jackson,29826.0,31.4
Jefferson,48695.0,16.4
Jessamine,50558.0,19.1
Johnson,35570.0,26.3
Kenton,54296.0,14.6
Knott,30411.0,28.1
Knox,26599.0,32.6
Larue,38578.0,17.8
Laurel,36020.0,23.1
Lawrence,35935.0,22.7
Lee,22698.0,32.0
Leslie,25872.0,28.5
Letcher,30333.0,28.4
Lewis,28630.0,30.8
Lincoln,37139.0,25.0
Livingston,42171.0,14.7
Logan,38570.0,19.3
Lyon,46931.0,14.3
McCracken,44067.0,16.8
McCreary,19328.0,41.0
McLean,40770.0,21.1
Madison,42390.0,21.0
Magoffin,28500.0,28.6
Marion,38826.0,20.3
Marshall,45212.0,10.8
Martin,25795.0,35.2
Mason,38824.0,18.2
Meade,49884.0,16.7
Menifee,31503.0,29.9
Mercer,42083.0,18.3
Metcalfe,32294.0,21.9
Monroe,31045.0,27.7
Montgomery,39275.0,26.0
Morgan,29707.0,27.7
Muhlenberg,38961.0,19.9
Nelson,49298.0,16.0
Nicholas,36097.0,23.5
Ohio,40189.0,22.0
Oldham,85452.0,6.0
Owen,41934.0,16.8
Owsley,20985.0,37.9
Pendleton,48353.0,15.3
Perry,32667.0,25.4
Pike,33183.0,22.9
Powell,29736.0,28.1
Pulaski,34790.0,26.3
Robertson,31741.0,22.0
Rockcastle,31555.0,24.7
Rowan,36860.0,26.0
Russell,30720.0,25.8
Scott,63027.0,11.0
Shelby,60324.0,13.0
Simpson,39679.0,20.1
Spencer,63000.0,8.4
Taylor,33340.0,23.7
Todd,40497.0,18.5
Trigg,44083.0,17.8
Trimble,47409.0,17.4
Union,40120.0,27.7
Warren,44911.0,18.8
Washington,40976.0,17.6
Wayne,28573.0,27.0
Webster,38917.0,17.6
Whitley,31014.0,26.0
Wolfe,20504.0,43.0
Woodford,58750.0,13.1
